t_s,Cb_mM
193.5,0.609801163863814
194,0.608945502282548
194.5,0.608091041349601
195,0.607237779380243
195.5,0.606385714692114
196,0.605534845605209
196.5,0.604685170441883
197,0.603836687526846
197.5,0.602989395187157
198,0.602143291752222
198.5,0.601298375553793
199,0.600454644925962
199.5,0.599612098205158
200,0.598770733730146
200.5,0.597930549842019
201,0.597091544884201
201.5,0.596253717202439
202,0.595417065144801
202.5,0.594581587061672
203,0.593747281305755
203.5,0.592914146232061
204,0.592082180197911
204.5,0.591251381562931
205,0.590421748689048
205.5,0.589593279940487
206,0.588765973683771
206.5,0.587939828287711
207,0.587114842123411
207.5,0.586291013564258
208,0.585468340985922
208.5,0.584646822766352
209,0.583826457285774
209.5,0.583007242926685
210,0.582189178073855
210.5,0.581372261114317
211,0.580556490437368
211.5,0.579741864434568
212,0.578928381499729
212.5,0.578116040028921
213,0.577304838420462
213.5,0.57649477507492
214,0.575685848395104
214.5,0.574878056786067
215,0.574071398655099
215.5,0.573265872411724
216,0.5724614764677
216.5,0.571658209237011
217,0.570856069135867
217.5,0.570055054582702
218,0.569255163998167
218.5,0.568456395805132
219,0.567658748428677
219.5,0.566862220296093
220,0.566066809836879
220.5,0.565272515482735
221,0.564479335667565
221.5,0.563687268827468
222,0.562896313400738
222.5,0.562106467827861
223,0.561317730551511
223.5,0.560530100016546
224,0.559743574670008
224.5,0.558958152961117
225,0.55817383334127
225.5,0.557390614264036
226,0.556608494185153
226.5,0.555827471562529
227,0.555047544856232
227.5,0.554268712528494
228,0.553490973043703
228.5,0.552714324868403
229,0.551938766471288
229.5,0.551164296323202
230,0.550390912897134
230.5,0.549618614668216
231,0.548847400113721
231.5,0.548077267713055
232,0.547308215947763
232.5,0.546540243301515
233,0.545773348260112
233.5,0.54500752931148
234,0.544242784945664
234.5,0.543479113654832
235,0.542716513933263
235.5,0.541954984277353
236,0.541194523185604
236.5,0.540435129158627
237,0.539676800699138
237.5,0.538919536311952
238,0.538163334503983
238.5,0.537408193784239
239,0.536654112663821
239.5,0.535901089655919
240,0.53514912327581
240.5,0.534398212040853
241,0.533648354470488
241.5,0.532899549086233
242,0.532151794411681
242.5,0.531405088972494
243,0.530659431296405
243.5,0.529914819913213
244,0.529171253354779
244.5,0.528428730155025
245,0.52768724884993
245.5,0.526946807977525
246,0.526207406077896
246.5,0.525469041693175
247,0.524731713367541
247.5,0.523995419647215
248,0.523260159080458
248.5,0.522525930217569
249,0.52179273161088
249.5,0.521060561814755
250,0.520329419385586
250.5,0.51959930288179
251,0.51887021086381
251.5,0.518142141894104
252,0.517415094537152
252.5,0.516689067359445
253,0.515964058929487
253.5,0.51524006781779
254,0.514517092596872
254.5,0.513795131841255
255,0.513074184127458
255.5,0.512354248034002
256,0.511635322141399
256.5,0.510917405032155
257,0.510200495290764
257.5,0.509484591503705
258,0.508769692259442
258.5,0.50805579614842
259,0.507342901763062
259.5,0.506631007697764
260,0.505920112548896
260.5,0.505210214914797
261,0.504501313395773
261.5,0.503793406594094
262,0.503086493113992
262.5,0.502380571561655
263,0.50167564054523
263.5,0.500971698674815
264,0.500268744562459
264.5,0.499566776822159
265,0.498865794069855
265.5,0.49816579492343
266,0.497466778002709
266.5,0.496768741929448
267,0.496071685327343
267.5,0.495375606822017
268,0.494680505041023
268.5,0.493986378613841
269,0.49329322617187
269.5,0.492601046348435
270,0.491909837778774
270.5,0.491219599100044
271,0.490530328951309
271.5,0.489842025973549
272,0.489154688809646
272.5,0.488468316104388
273,0.487782906504466
273.5,0.487098458658467
274,0.486414971216877
274.5,0.485732442832075
275,0.485050872158329
275.5,0.484370257851797
276,0.483690598570523
276.5,0.483011892974434
277,0.482334139725336
277.5,0.481657337486913
278,0.480981484924725
278.5,0.480306580706205
279,0.479632623500654
279.5,0.478959611979241
280,0.478287544815001
280.5,0.477616420682828
281,0.476946238259478
281.5,0.476276996223562
282,0.475608693255547
282.5,0.474941328037751
283,0.474274899254338
283.5,0.473609405591323
284,0.472944845736562
284.5,0.472281218379752
285,0.47161852221243
285.5,0.470956755927969
286,0.470295918221573
286.5,0.46963600779028
287,0.468977023332955
287.5,0.468318963550288
288,0.467661827144793
288.5,0.467005612820804
289,0.466350319284474
289.5,0.465695945243772
290,0.465042489408477
290.5,0.464389950490182
291,0.463738327202285
291.5,0.463087618259991
292,0.462437822380307
292.5,0.461788938282042
293,0.461140964685799
293.5,0.460493900313982
294,0.459847743890781
294.5,0.459202494142181
295,0.458558149795953
295.5,0.457914709581653
296,0.457272172230621
296.5,0.456630536475975
297,0.455989801052613
297.5,0.455349964697205
298,0.454711026148198
298.5,0.454072984145806
299,0.45343583743201
299.5,0.452799584750561
300,0.452164224846966
300.5,0.451529756468499
301,0.450896178364186
301.5,0.450263489284813
302,0.449631687982916
302.5,0.449000773212781
303,0.448370743730446
303.5,0.447741598293689
304,0.447113335662036
304.5,0.44648595459675
305,0.445859453860834
305.5,0.445233832219026
306,0.444609088437798
306.5,0.443985221285352
307,0.443362229531619
307.5,0.442740111948257
308,0.442118867308645
308.5,0.441498494387886
309,0.440878991962799
309.5,0.440260358811922
310,0.439642593715505
310.5,0.43902569545551
311,0.438409662815609
311.5,0.43779449458118
312,0.437180189539305
312.5,0.436566746478768
313,0.435954164190054
313.5,0.435342441465344
314,0.434731577098513
314.5,0.43412156988513
315,0.433512418622453
315.5,0.432904122109429
316,0.432296679146687
316.5,0.431690088536543
317,0.431084349082992
317.5,0.430479459591706
318,0.429875418870034
318.5,0.429272225726999
319,0.428669878973293
