t_s, Cb_mM
284.5,0.306904
285,0.306904
285.5,0.306904
286,0.306904
286.5,0.306904
287,0.306904
287.5,0.306904
288,0.306904
288.5,0.306904
289,0.306904
289.5,0.306904
290,0.306904
290.5,0.306904
291,0.306904
291.5,0.306904
292,0.306904
292.5,0.306904
293,0.306904
293.5,0.306904
294,0.306904
294.5,0.306904
295,0.306904
295.5,0.306904
296,0.306904
296.5,0.306904
297,0.306904
297.5,0.306904
298,0.306904
298.5,0.306904
299,0.306904
299.5,0.306904
300,0.306904
300.5,0.306904
301,0.306904
301.5,0.306904
302,0.306904
302.5,0.306904
303,0.306904
303.5,0.306904
304,0.306904
304.5,0.306904
305,0.306904
305.5,0.306904
306,0.306904
306.5,0.306904
307,0.306904
307.5,0.306904
308,0.306904
308.5,0.306904
309,0.306904
309.5,0.306904
310,0.306904
310.5,0.306904
311,0.306904
311.5,0.306904
312,0.306904
312.5,0.306904
313,0.306904
313.5,0.306904
314,0.306904
314.5,0.306904
315,0.306904
315.5,0.306904
316,0.306904
316.5,0.306904
317,0.306904
317.5,0.306904
318,0.306904
318.5,0.306904
319,0.306904
319.5,0.306904
320,0.306904
320.5,0.306904
321,0.306904
321.5,0.306904
322,0.306904
322.5,0.306904
323,0.306904
323.5,0.306904
324,0.294797
324.5,0.306904
325,0.294797
